pg_container  | 
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:00.743 UTC [274] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:00.743 UTC [274] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:09.541 UTC [289] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:09.541 UTC [289] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:09.758 UTC [290] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:09.758 UTC [290] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:18.560 UTC [306] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:18.560 UTC [306] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:18.756 UTC [307] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:18.756 UTC [307] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:25.168 UTC [315] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:25.168 UTC [315] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:25.350 UTC [316] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:25.350 UTC [316] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:33.056 UTC [332] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:33.056 UTC [332] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:33.274 UTC [333] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:33.274 UTC [333] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:07:40.252 UTC [27] LOG:  checkpoint starting: time
pg_container  | 2025-11-27 04:07:40.435 UTC [27] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.004 s, total=0.183 s; sync files=2, longest=0.003 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/49C8C060, redo lsn=0/49C8C028
pg_container  | 2025-11-27 04:15:36.386 UTC [1244] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:36.386 UTC [1244] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:36.245 UTC [1245] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:36.245 UTC [1245] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:42.371 UTC [1262] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:42.371 UTC [1262] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:42.521 UTC [1263] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:42.521 UTC [1263] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:48.801 UTC [1271] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:48.801 UTC [1271] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:48.933 UTC [1272] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:48.933 UTC [1272] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:55.233 UTC [1280] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:55.233 UTC [1280] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:15:55.378 UTC [1281] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:15:55.378 UTC [1281] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:01.666 UTC [1289] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:01.666 UTC [1289] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:01.803 UTC [1290] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:01.803 UTC [1290] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:06.243 UTC [1306] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:06.243 UTC [1306] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:06.381 UTC [1307] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:06.381 UTC [1307] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:12.977 UTC [1315] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:12.977 UTC [1315] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:13.101 UTC [1316] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:13.101 UTC [1316] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:19.663 UTC [1324] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:19.663 UTC [1324] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:19.798 UTC [1325] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:19.798 UTC [1325] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:26.088 UTC [1340] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:26.088 UTC [1340] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:26.217 UTC [1341] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:26.217 UTC [1341] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:30.601 UTC [1350] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:30.601 UTC [1350] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:30.757 UTC [1351] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:30.757 UTC [1351] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:37.180 UTC [1359] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:37.180 UTC [1359] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:37.316 UTC [1360] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:37.316 UTC [1360] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:43.569 UTC [1369] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:43.569 UTC [1369] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:43.698 UTC [1370] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:43.698 UTC [1370] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:49.998 UTC [1385] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:49.998 UTC [1385] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:50.141 UTC [1386] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:50.141 UTC [1386] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:56.293 UTC [1394] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:56.293 UTC [1394] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:16:56.415 UTC [1395] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:16:56.415 UTC [1395] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:00.457 UTC [1403] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:00.457 UTC [1403] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:00.584 UTC [1404] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:00.584 UTC [1404] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:06.743 UTC [1412] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:06.743 UTC [1412] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:06.866 UTC [1413] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:06.866 UTC [1413] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:13.171 UTC [1428] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:13.171 UTC [1428] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:13.299 UTC [1429] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:13.299 UTC [1429] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:19.399 UTC [1437] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:19.399 UTC [1437] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:19.519 UTC [1438] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:19.519 UTC [1438] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:25.613 UTC [1446] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:25.613 UTC [1446] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:25.733 UTC [1447] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:25.733 UTC [1447] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:29.600 UTC [1455] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:29.600 UTC [1455] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:17:29.721 UTC [1456] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:17:29.721 UTC [1456] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:39.368 UTC [3975] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:39.368 UTC [3975] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:39.515 UTC [3976] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:39.515 UTC [3976] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:46.392 UTC [3985] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:46.392 UTC [3985] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:46.546 UTC [3986] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:46.546 UTC [3986] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:53.345 UTC [4001] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:53.345 UTC [4001] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:53.482 UTC [4002] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:53.482 UTC [4002] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:44:59.998 UTC [4011] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:44:59.998 UTC [4011] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:00.147 UTC [4012] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:00.147 UTC [4012] DETAIL:  Role "airflow" does not exist.
