pg_container  | 
pg_container  | PostgreSQL Database directory appears to contain a database; Skipping initialization
pg_container  | 
pg_container  | 2025-11-27 04:02:40.845 UTC [1] LOG:  starting PostgreSQL 16.11 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
pg_container  | 2025-11-27 04:02:40.845 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
pg_container  | 2025-11-27 04:02:40.845 UTC [1] LOG:  listening on IPv6 address "::", port 5432
pg_container  | 2025-11-27 04:02:40.854 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
pg_container  | 2025-11-27 04:02:40.873 UTC [29] LOG:  database system was shut down at 2025-11-27 04:02:14 UTC
pg_container  | 2025-11-27 04:02:40.896 UTC [1] LOG:  database system is ready to accept connections
pg_container  | 2025-11-27 04:03:02.538 UTC [66] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:02.538 UTC [66] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:02.585 UTC [67] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:02.585 UTC [67] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:09.023 UTC [81] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:09.023 UTC [81] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:09.218 UTC [83] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:09.218 UTC [83] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:18.375 UTC [91] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:18.375 UTC [91] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:18.573 UTC [92] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:18.573 UTC [92] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:27.202 UTC [107] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:27.202 UTC [107] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:27.431 UTC [108] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:27.431 UTC [108] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:33.392 UTC [123] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:33.392 UTC [123] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:33.575 UTC [124] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:33.575 UTC [124] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:41.514 UTC [133] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:41.514 UTC [133] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:41.737 UTC [134] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:41.737 UTC [134] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:50.004 UTC [149] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:50.004 UTC [149] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:50.188 UTC [150] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:50.188 UTC [150] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:58.135 UTC [165] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:58.135 UTC [165] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:03:58.330 UTC [166] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:03:58.330 UTC [166] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:03.704 UTC [175] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:03.704 UTC [175] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:03.862 UTC [176] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:03.862 UTC [176] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:11.999 UTC [191] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:11.999 UTC [191] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:12.159 UTC [192] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:12.159 UTC [192] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:20.478 UTC [200] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:20.478 UTC [200] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:20.712 UTC [201] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:20.712 UTC [201] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:28.183 UTC [216] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:28.183 UTC [216] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:28.356 UTC [217] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:28.356 UTC [217] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:37.570 UTC [232] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:37.570 UTC [232] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:37.813 UTC [233] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:37.813 UTC [233] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:45.750 UTC [249] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:45.750 UTC [249] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:45.958 UTC [250] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:45.958 UTC [250] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:54.129 UTC [258] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:54.129 UTC [258] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:04:54.327 UTC [259] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:04:54.327 UTC [259] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:05:00.586 UTC [273] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:05:00.586 UTC [273] DETAIL:  Role "airflow" does not exist.
